,,,,,,,,,,,,,Asignatura,Nombre Asig.,Créditos Asignatura,Asig. Referenciadas,Sección,Descrip. Evento,Horario,Profesor,Sede,Cat. Paquete,Paquete,Vac. Paquete
,,,,,,,,,,,,,CFG2014,PROBLEMÁTICAS CONTEMPORÁNEAS DE LA SEXUA,5,,Sección 1,B-LEARNING FG01,MI 17:25 - 20:10,LOPEZ ANA PAOLA,S-SANTIAGO,Vacantes FG,CFG2014_FG01,55
,,,,,,,,,,,,,CFG2014,PROBLEMÁTICAS CONTEMPORÁNEAS DE LA SEXUA,5,,Sección 1,B-LEARNING FG01,MI 17:25 - 20:10,MEDALLA TANIA,S-SANTIAGO,Vacantes FG,CFG2014_FG01,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2017,HISTORIA DE LA CIENCIA: INFLEXIONES E IM,5,,Sección 1,CÁTEDRA DE FG01,MA JU 18:50 - 20:10,ZAMBRA MARCELO CRISTIAN,S-SANTIAGO,Vacantes FG,CFG2017_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2027,LA CIUDAD CÓMO ESPACIO INCLUSIVO,5,,Sección 1,CÁTEDRA DE FG01,LU 16:00 - 18:45,FIGUEROA DANTE OMAR,S-SANTIAGO,Vacantes FG,CFG2027_FG01,55
,,,,,,,,,,,,,CFG2027,LA CIUDAD CÓMO ESPACIO INCLUSIVO,5,,Sección 1,CÁTEDRA DE FG01,LU 16:00 - 18:45,GUTIERREZ VOLKER AMAURY,S-SANTIAGO,Vacantes FG,CFG2027_FG01,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2029,B-LEARNING ARGUM. Y PENSAMIENTO CRÍTICO,5,,Sección 1,B-LEARNING FG01,LU 10:00 - 12:50,FERNÁNDEZ FELIPE IGNACIO,S-SANTIAGO,Vacantes FG,CFG2029_FG01,55
,,,,,,,,,,,,,CFG2029,B-LEARNING ARGUM. Y PENSAMIENTO CRÍTICO,5,,Sección 1,B-LEARNING FG01,LU 10:00 - 12:50,HAMAME EVA EMILIA,S-SANTIAGO,Vacantes FG,CFG2029_FG01,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2029,B-LEARNING ARGUM. Y PENSAMIENTO CRÍTICO,5,,Sección 2,B-LEARNING FG02,MA 10:00 - 12:50,GAETE VALENTINA BELEN,S-SANTIAGO,Vacantes FG,CFG2029_FG02,55
,,,,,,,,,,,,,CFG2029,B-LEARNING ARGUM. Y PENSAMIENTO CRÍTICO,5,,Sección 2,B-LEARNING FG02,MA 10:00 - 12:50,HAMAME EVA EMILIA,S-SANTIAGO,Vacantes FG,CFG2029_FG02,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2050,CUENTO NORTEAMERICANO CONTEMPORÁNEO: REL,5,,Sección 1,CÁTEDRA DE FG01,MA JU 11:30 - 12:50,PILGRIN SAMUEL ALEJANDRO,S-SANTIAGO,Vacantes FG,CFG2050_FG01,55
,,,,,,,,,,,,,CFG2050,CUENTO NORTEAMERICANO CONTEMPORÁNEO: REL,5,,Sección 1,CÁTEDRA DE FG01,MA JU 11:30 - 12:50,CONTRERAS GONZALO,S-SANTIAGO,Vacantes FG,CFG2050_FG01,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2059,POESIA INDIGENA LATINOAMERICANA,5,,Sección 1,CÁTEDRA DE FG01,MA MI 10:00 - 11:20,HUENUN JAIME LUIS,S-SANTIAGO,Vacantes FG,CFG2059_FG01,55
,,,,,,,,,,,,,CFG2059,POESIA INDIGENA LATINOAMERICANA,5,,Sección 1,CÁTEDRA DE FG01,MA MI 10:00 - 11:20,CATALÁN AILIN,S-SANTIAGO,Vacantes FG,CFG2059_FG01,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2065,NOVELA GRÁFICA: SOBRE LA CRISIS DEL SUJE,5,,Sección 1,CÁTEDRA DE FG01,MI 17:25 - 20:10,DOMINGUEZ PALOMA DEL PILAR,S-SANTIAGO,Vacantes FG,CFG2065_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2066,ORIGEN Y EVOLUCIÓN DE LA VIDA,5,,Sección 1,CÁTEDRA DE FG01,LU VI 18:50 - 20:10,GALLARDO MAURICIO ORLANDO,S-SANTIAGO,Vacantes FG,CFG2066_FG01,55
,,,,,,,,,,,,,CFG2066,ORIGEN Y EVOLUCIÓN DE LA VIDA,5,,Sección 1,CÁTEDRA DE FG01,LU VI 18:50 - 20:10,PEREZ DANIELA ANDREA,S-SANTIAGO,Vacantes FG,CFG2066_FG01,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2086,LA GUERRA FRIA ORIGEN Y FORMACION DEL MU,5,,Sección 1,CÁTEDRA DE FG01,LU JU 14:30 - 15:50,BUGUEÑO RODRIGO ALFONSO,S-SANTIAGO,Vacantes FG,CFG2086_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2098,REVOLUCIONES DE LA HISTORIA CONTEMPORÁNE,5,,Sección 1,B-LEARNING FG01,JU 14:30 - 17:20,SCHNEUER MARÍA JOSÉ,S-SANTIAGO,Vacantes FG,CFG2098_FG01,55
,,,,,,,,,,,,,CFG2098,REVOLUCIONES DE LA HISTORIA CONTEMPORÁNE,5,,Sección 1,B-LEARNING FG01,JU 14:30 - 17:20,ÁNGEL LUNA,S-SANTIAGO,Vacantes FG,CFG2098_FG01,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2135,B-LEARNING EE.UU: SU VISIÓN DE LA LIBERT,5,,Sección 1,B-LEARNING FG01,MI 14:30 - 17:20,RODRIGUEZ ROSARIO CAROLINA,S-SANTIAGO,Vacantes FG,CFG2135_FG01,55
,,,,,,,,,,,,,CFG2135,B-LEARNING EE.UU: SU VISIÓN DE LA LIBERT,5,,Sección 1,B-LEARNING FG01,MI 14:30 - 17:20,LARA ROMINA,S-SANTIAGO,Vacantes FG,CFG2135_FG01,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2135,B-LEARNING EE.UU: SU VISIÓN DE LA LIBERT,5,,Sección 2,B-LEARNING 02,VI 11:30 - 14:20,RODRIGUEZ ROSARIO CAROLINA,S-HUECHURABA,Vacantes FG,CFG2135_CB02,45
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2140,"TRANSFORMACIONES URBANAS,PRÁCTICAS ESPAC",5,,Sección 1,CÁTEDRA DE FG01,LU MI 10:00 - 11:20,ALVAREZ ANA MARIA,S-SANTIAGO,Vacantes FG,CFG2140_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2141,LA CIUDAD:UN TERRITORIO EN DISPUTA.DEBAT,5,,Sección 1,CÁTEDRA DE FG01,JU 10:00 - 11:20,SCHMEISSER GONZALO,S-SANTIAGO,Vacantes FG,CFG2141_FG01,55
,,,,,,,,,,,,,CFG2141,LA CIUDAD:UN TERRITORIO EN DISPUTA.DEBAT,5,,Sección 1,CÁTEDRA DE FG01,JU 10:00 - 11:20; JU 11:30 - 12:50,LABORDE MIGUEL,S-SANTIAGO,Vacantes FG,CFG2141_FG01,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2149,LA ERA DE LAS VANGUARDIAS HISTÓRICAS:ART,5,,Sección 1,B-LEARNING FG01,LU 18:50 - 21:35,SANTIBAÑEZ MARA JIMENA,S-SANTIAGO,Vacantes FG,CFG2149_FG01,55
,,,,,,,,,,,,,CFG2149,LA ERA DE LAS VANGUARDIAS HISTÓRICAS:ART,5,,Sección 1,B-LEARNING FG01,LU 18:50 - 21:35,FLORES CARLA,S-SANTIAGO,Vacantes FG,CFG2149_FG01,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2150,SOCIEDAD Y MEDIOS DE COMUNICACIÓN,5,,Sección 1,CÁTEDRA DE FG01,MA JU 14:30 - 15:50,CORREA MARIA XIMENA,S-SANTIAGO,Vacantes FG,CFG2150_FG01,55
,,,,,,,,,,,,,CFG2150,SOCIEDAD Y MEDIOS DE COMUNICACIÓN,5,,Sección 1,CÁTEDRA DE FG01,MA JU 14:30 - 15:50,JIMÉNEZ ALMENDRA,S-SANTIAGO,Vacantes FG,CFG2150_FG01,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2158,TÓPICOS DE POLÍTICA LATINOAMERICANA,5,,Sección 1,CÁTEDRA DE FG01,LU MI 08:30 - 09:50,AHUMADA CARLOS ANDRES,S-SANTIAGO,Vacantes FG,CFG2158_FG01,10
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2166,MÚSICA LATINOAMERICANA Y MOVIMIENTOS SOC,5,,Sección 1,CÁTEDRA DE FG01,LU MI 17:25 - 18:45,MARTINEZ FELIPE ANDRES,S-SANTIAGO,Vacantes FG,CFG2166_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2177,"B-LEARNING IMÁGEN, FOTOGRAFÍA Y MEMORIA",5,,Sección 1,B-LEARNING FG01,VI 08:30 - 11:20,YAÑEZ MILTON ALFREDO,S-SANTIAGO,Vacantes FG,CFG2177_FG01,55
,,,,,,,,,,,,,CFG2177,"B-LEARNING IMÁGEN, FOTOGRAFÍA Y MEMORIA",5,,Sección 1,B-LEARNING FG01,VI 08:30 - 11:20,SALGADO SAMUEL EDUARDO,S-SANTIAGO,Vacantes FG,CFG2177_FG01,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2180,POESÍA Y PAISAJE EN CHILE,5,,Sección 1,CÁTEDRA DE FG01,MA JU 14:30 - 15:50,RUBIO RAFAEL IGNACIO,S-SANTIAGO,Vacantes FG,CFG2180_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2189,DERECHOS DE LAS MINORÍAS E INTERCULTURAL,5,,Sección 1,CÁTEDRA DE FG01,MA JU 17:25 - 18:45,MILLACURA CLAUDIO VICENTE,S-SANTIAGO,Vacantes FG,CFG2189_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2192,DEBATES DE GÉNERO: MUJERES Y HOMBRES EN,5,,Sección 1,CÁTEDRA DE FG01,MI 11:30 - 14:20,DURAND MARIA TERESA,S-SANTIAGO,Vacantes FG,CFG2192_FG01,55
,,,,,,,,,,,,,CFG2192,DEBATES DE GÉNERO: MUJERES Y HOMBRES EN,5,,Sección 1,CÁTEDRA DE FG01,MI 11:30 - 14:20,CORREA LAURA,S-SANTIAGO,Vacantes FG,CFG2192_FG01,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2200,LAS ESCUELAS DE TEORÍA ECONÓMICA EN EL S,5,,Sección 1,CÁTEDRA DE FG01,MA JU 13:00 - 14:20,ABBOTT FELIPE ALBERTO,S-SANTIAGO,Vacantes FG,CFG2200_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2202,"DESIGUALDAD:DEFINICIÓN,MEDICIÓN Y CASOS",5,,Sección 1,CÁTEDRA DE FG01,JU 11:30 - 14:20,PUENTES GERMAN ADOLFO,S-HUECHURABA,Vacantes FG,CFG2202_FG01,45
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2203,EDUCACIÓN SUPERIOR EN CHILE: DESAFÍOS Y,5,,Sección 1,CÁTEDRA DE FG01,LU JU 11:30 - 12:50,MONTT PEDRO NOLASCO,S-SANTIAGO,Vacantes FG,CFG2203_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2208,EL DOCUMENTAL EN AMÉRICA LATINA: UN RELA,5,,Sección 1,CÁTEDRA DE FG01,MA 13:00 - 15:50,ROBLES GILBERTO ALFREDO,S-SANTIAGO,Vacantes FG,CFG2308_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2209,CONSTRUCCIÓN SOCIAL DE LA ENFERMEDAD:CI,5,,Sección 1,B-LEARNING FG01,VI 11:30 - 14:20,PAVEZ MELISA PAZ,S-SANTIAGO,Vacantes FG,CFG2209_FG01,55
,,,,,,,,,,,,,CFG2209,CONSTRUCCIÓN SOCIAL DE LA ENFERMEDAD:CI,5,,Sección 1,B-LEARNING FG01,VI 11:30 - 14:20,BARRERO LINA MARIA,S-SANTIAGO,Vacantes FG,CFG2209_FG01,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2222,CIUDADES SUSTENTABLES:DESAFÍOS EN AMÉRIC,5,,Sección 1,CÁTEDRA DE FG01,MI 14:30 - 17:20,BRAVO MARIA JOSE,S-SANTIAGO,Vacantes FG,CFG2222_FG01,55
,,,,,,,,,,,,,CFG2222,CIUDADES SUSTENTABLES:DESAFÍOS EN AMÉRIC,5,,Sección 1,CÁTEDRA DE FG01,MI 14:30 - 17:20,SCHMIDT FRANCISCO JAVIER,S-SANTIAGO,Vacantes FG,CFG2222_FG01,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2222,CIUDADES SUSTENTABLES:DESAFÍOS EN AMÉRIC,5,,Sección 2,CÁTEDRA DE FG02,MI 10:00 - 12:50,BRAVO MARIA JOSE,S-SANTIAGO,Vacantes FG,CFG2222_FG02,10
,,,,,,,,,,,,,CFG2222,CIUDADES SUSTENTABLES:DESAFÍOS EN AMÉRIC,5,,Sección 2,CÁTEDRA DE FG02,MI 10:00 - 12:50,SCHMIDT FRANCISCO JAVIER,S-SANTIAGO,Vacantes FG,CFG2222_FG02,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2224,"POBLACIÓN,DESARROLLO Y POLÍTICAS PÚBL",5,,Sección 1,B-LEARNING FG01,MI 11:30 - 14:20,SINGH DOMINIQUE,S-SANTIAGO,Vacantes FG,CFG2224_FG01,55
,,,,,,,,,,,,,CFG2224,"POBLACIÓN,DESARROLLO Y POLÍTICAS PÚBL",5,,Sección 1,B-LEARNING FG01,MI 11:30 - 14:20,AGAR LORENZO RENE,S-SANTIAGO,Vacantes FG,CFG2224_FG01,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2225,"ORIGEN, EVOLUCIÓN Y FIN DEL UNIVERSO",5,,Sección 1,CÁTEDRA DE FG01,MI JU 18:50 - 20:10,LABBE ERIKA FABIOLA,S-SANTIAGO,Vacantes FG,CFG2225_FG01,55
,,,,,,,,,,,,,CFG2225,"ORIGEN, EVOLUCIÓN Y FIN DEL UNIVERSO",5,,Sección 1,CÁTEDRA DE FG01,MI JU 18:50 - 20:10,SOTO DANIEL EDUARDO,S-SANTIAGO,Vacantes FG,CFG2225_FG01,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2238,CIUDADANÍA Y GÉNERO EN CHILE:SIGLOS XX Y,5,,Sección 1,CÁTEDRA DE FG01,MA JU 16:00 - 17:20,GODOY CARMEN  GLORIA,S-SANTIAGO,Vacantes FG,CFG2238_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2240,MICROORGANISMOS: ORÍGENES Y PANDEMIAS AC,5,,Sección 1,CÁTEDRA DE FG01,JU VI 17:25 - 18:45,PEREZ DANIELA ANDREA,S-SANTIAGO,Vacantes FG,CFG2240_FG01,55
,,,,,,,,,,,,,CFG2240,MICROORGANISMOS: ORÍGENES Y PANDEMIAS AC,5,,Sección 1,CÁTEDRA DE FG01,JU VI 17:25 - 18:45,NAVARRO MYRIAM ANDREA,S-SANTIAGO,Vacantes FG,CFG2240_FG01,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2244,"CIUDADANÍA , POBREZA E INNOVACIÓN SOCIAL",5,,Sección 1,B-LEARNING FG01,JU 18:50 - 21:35,GUERRA OSCAR   PATRICIO,S-SANTIAGO,Vacantes FG,CFG2244_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2253,"CREYENTES, AGNÓSTICOS Y ATEOS EN LA ERA",5,,Sección 1,CÁTEDRA DE FG01,LU 11:30 - 12:50; MI 10:00 - 11:20,OTERO EDISON HERMES,S-SANTIAGO,Vacantes FG,CFG2253_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2257,HISTORIA DE LAS CORRIENTES POLÍTICAS EN,5,,Sección 1,CÁTEDRA DE FG01,JU 13:00 - 14:20; LU 16:00 - 17:20,ARANGUIZ SANTIAGO,S-SANTIAGO,Vacantes FG,CFG2257_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2262,CRISIS MEDIOAMBIENTAL Y SUS CONSECUENCIA,5,,Sección 1,CÁTEDRA 01,MA 14:30 - 17:20,LIZAMA NATALIA ANDREA,S-SANTIAGO,Vacantes FG,CFG2262_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2273,"ASTRONOMÍA MODERNA, UNA PERSPECTIVA CÓSM",5,,Sección 1,B-LEARNING FG01,LU 13:00 - 15:50,ARAVENA MANUEL ALEJANDRO,S-SANTIAGO,Vacantes FG,CFG2273_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2273,"ASTRONOMÍA MODERNA, UNA PERSPECTIVA CÓSM",5,,Sección 2,CÁTEDRA DE FG02,MA VI 13:00 - 14:20,ZURLO ALICE,S-SANTIAGO,Vacantes FG,CFG2273_FG02,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2278,MOVIMIENTOS SOCIALES EN LA HISTORIA RECI,5,,Sección 1,CÁTEDRA DE FG01,LU 11:30 - 12:50; MI 14:30 - 15:50,CAVIERES JULIA,S-SANTIAGO,Vacantes FG,CFG2278_FG01,10
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2280,ARTE Y PSICOANÁLISIS,5,,Sección 1,CÁTEDRA DE FG01,MA 10:00 - 12:50,PEREZ CARLOS,S-SANTIAGO,Vacantes FG,CFG2080_FG01,55
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFG2285,EL SIGLO XX: TRANSFORMACIONES Y CONFLICT,5,,Sección 1,CÁTEDRA DE FG01,LU MI 10:00 - 11:20,MENEGHELLO RAIMUNDO GUILLERM,S-SANTIAGO,Vacantes FG,CFG2285_FG01,55
